ciclo,ccaa,prov,nvivi,nivel,npers,edad5,relpp1,sexo1,ncony,npadre,nmadre,rellmili,eciv1,prona1,regna1,nac1,exregna1,anore1,nforma2,rellb,edadest,cursr,ncursr2,cursnr,ncurnr2,hcurnr,rellb,trarem,ayudfa,ausent,rznotb,vincul,nuevem,ocup1,act11,situ,sp,ducon1,ducon2,ducon3,tcontm,tcontd,dren,dcom,proest,regest,parco1,parco2,horasp,horash,horase,extra,extpag,extnpg,rzdifh,traplu,ocuplu1,actplu11,sitplu,horplu,mashor,dismas,rzndish,hordes,busotr,busca,desea,fobact,nbusca,asala,embus,itbu,disp,rzndis,empant,dtant,ocupa,acta1,situa,ofemp,sidi1,sidi2,sidi3,sidac1,sidac2,mun1,prore1,repaire1,traant,aoi,cse,factorel,factorel
178,1,18,20671,1,1,65,1,6,2,0,0,,2,18,,1,,,P2,,13,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,8,,,,6,4,6,,,,,3,3,,,,,1,,,6,9,,16149,
178,1,18,20671,1,2,65,2,1,1,0,0,,2,18,,1,,,S1,,15,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,201,,,,,2,3,,,,1,,,6,9,,16149,
178,1,18,20672,1,1,40,1,6,0,0,0,,4,18,,1,,,SP,,19,3,,1,PE,999,,1,,,,,,5,8,7,3,1,1,,,,122,188,18,,1,,3730,3730,3730,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,3,,,1,1,1,,,1,4,14,15816,
178,1,18,20672,1,2,16,3,1,0,0,1,,1,18,,1,,,S1,,15,1,SG,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,6,,,,6,1,6,,,,,3,1,3,,,,1,,,6,9,,15816,
178,1,18,20672,2,3,5,3,1,0,0,1,,,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,27841,
178,1,18,20673,1,1,55,1,6,2,0,0,,2,10,,1,,,S1,,14,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,5,,,,6,2,6,,,,,3,3,,,,,1,,,6,9,,16201,
178,1,18,20673,1,2,50,2,1,1,0,0,,2,18,,1,,,SU,,45,1,SP,3,,,,1,,,,,,3,8,7,1,1,1,,,,433,433,18,,1,,3730,4000,4000,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,1,3,,1,1,1,,,1,4,11,16201,
178,1,18,20673,1,4,20,3,1,0,2,1,,1,18,,1,,,SG,,19,1,SU,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,6,,,,1,,6,,,,,3,1,3,,,,1,,,6,9,,16201,
178,1,18,20674,1,1,55,1,6,2,0,0,,2,28,,1,,,S1,,33,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,3,,,,6,3,1,88,,,,3,4,5,,,,1,,,6,9,,14406,
178,1,18,20674,1,2,65,2,1,1,0,0,,2,18,,1,,,S1,,40,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,7,,,,6,4,1,96,,,,3,2,,,,,1,,,6,9,,14406,
178,1,18,20674,1,3,20,3,6,0,2,1,,1,18,,1,,,SU,,23,3,,1,PE,10,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,5,3,1,,1,9,5,7,8,3,,,,2,2,1,,,1,6,13,14406,
178,1,18,20675,1,1,60,1,1,2,0,0,,2,18,,1,,,S1,,14,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,7,,,,6,4,1,4,5,5,8,3,2,3,,,,1,,,1,9,,17861,
178,1,18,20675,1,2,55,2,6,1,0,0,,2,18,,1,,,S1,,12,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,3,,,,6,3,1,81,,,,2,3,,,,,1,,,6,9,,17861,
178,1,18,20676,1,1,55,1,6,0,0,0,,4,18,,1,,,S1,,14,3,,3,,,,1,,,,,,9,8,8,,1,1,,,,305,509,18,,1,,3800,3800,3800,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,3,,,1,1,1,,,1,4,14,22936,
178,1,18,20677,1,1,45,1,6,0,0,0,,1,18,,1,,,P2,,12,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,8,,,,6,4,1,129,,,,3,3,5,,,,1,,,6,9,,29102,
178,1,18,20678,1,1,45,1,6,2,0,0,,2,18,,1,,,S1,,14,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,3,7,1,,1,143,,,,2,3,,,2,2,1,,,6,6,,16578,
178,1,18,20678,1,2,45,2,1,1,0,0,,2,18,,1,,,SP,,17,3,,3,,,,1,,,,,,7,4,8,,1,1,,,,188,188,18,,1,,4000,4000,4000,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,,,,1,1,1,,,1,4,16,16578,
